Player Name - Slate Type,Contest IDs,Player ID,Draftable ID,Player Name,First Name,Last Name,Salary,Position,Team,Game,Game Start Time,Player Image,Tournament,Slate Type,Game Type,Date,Role,Contest Names,Contest IDs (Full),Slate Header
Katin Houser - Showdown Captain Mode (Captain),194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,1380615,43999068,Katin Houser,Katin,Houser,16800,CPT,IL,UAB @ IL,09/03/2026 09:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7823.png,UAB @ IL,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $6K Air Raid [$2K to 1st] (UAB @ IL);CFB Showdown $540 Kick Return [Single Entry, Top 2 Win] (UAB @ IL);CFB Showdown $500 First Down (UAB @ IL);CFB Showdown $155 White-Out [Single Entry] (UAB @ IL);CFB Showdown $100 Snap (UAB @ IL);CFB Showdown $310 Blitz [Single Entry] (UAB @ IL);CFB Showdown $240 Huddle [Single Entry] (UAB @ IL);CFB Showdown $200 Daily Dollar [Single Entry]  (UAB @ IL);CFB Showdown $200 Quarter Jukebox (UAB @ IL);CFB Showdown $100 Dime Time [Just $0.10!] (UAB @ IL)",194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,9/3 9:00PM (UAB @ IL)
Gio Lopez - Showdown Captain Mode (Captain),194851594;194851595;194851592;194851598;194851593;194851599;194851596;194851597,1443211,43999219,Gio Lopez,Gio,Lopez,16500,CPT,WAKE,AKR @ WAKE,09/03/2026 07:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7686.png,AKR @ WAKE,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $3K Air Raid [$1K to 1st] (AKR @ WAKE);CFB Showdown $500 First Down (AKR @ WAKE);CFB Showdown $540 Kick Return [Single Entry, Top 2 Win] (AKR @ WAKE);CFB Showdown $155 White-Out [Single Entry] (AKR @ WAKE);CFB Showdown $305 Huddle [Single Entry] (AKR @ WAKE);CFB Showdown $200 Daily Dollar [Single Entry]  (AKR @ WAKE);CFB Showdown $100 Quarter Jukebox [Just $0.25!]  (AKR @ WAKE);CFB Showdown $50 Dime Time [Just $0.10!] (AKR @ WAKE)",194851594;194851595;194851592;194851598;194851593;194851599;194851596;194851597,9/3 7:00PM (AKR @ WAKE)
Justice Haynes - Showdown Captain Mode (Captain),194851604;194851606;194851601;194851600;194851605;194851602;194851603;194851609;194851607;194851608,1440894,43999364,Justice Haynes,Justice,Haynes,16200,CPT,GT,COL @ GT,09/03/2026 08:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7633.png,COL @ GT,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $6K Air Raid [$2K to 1st] (COL @ GT);CFB Showdown $750 First Down (COL @ GT);CFB Showdown $720 Kick Return [Single Entry, Top 2 Win] (COL @ GT);CFB Showdown $155 White-Out [Single Entry] (COL @ GT);CFB Showdown $100 Snap (COL @ GT);CFB Showdown $355 Blitz [Single Entry] (COL @ GT);CFB Showdown $285 Tailgate (COL @ GT);CFB Showdown $300 Daily Dollar [Single Entry] (COL @ GT);CFB Showdown $200 Quarter Jukebox (COL @ GT);CFB Showdown $100 Dime Time [Just $0.10!] (COL @ GT)",194851604;194851606;194851601;194851600;194851605;194851602;194851603;194851609;194851607;194851608,9/3 8:00PM (COL @ GT)
Carlos Hernandez - Showdown Captain Mode (Captain),194851594;194851595;194851592;194851598;194851593;194851599;194851596;194851597,1442649,43999220,Carlos Hernandez,Carlos,Hernandez,15600,CPT,WAKE,AKR @ WAKE,09/03/2026 07:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7686.png,AKR @ WAKE,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $3K Air Raid [$1K to 1st] (AKR @ WAKE);CFB Showdown $500 First Down (AKR @ WAKE);CFB Showdown $540 Kick Return [Single Entry, Top 2 Win] (AKR @ WAKE);CFB Showdown $155 White-Out [Single Entry] (AKR @ WAKE);CFB Showdown $305 Huddle [Single Entry] (AKR @ WAKE);CFB Showdown $200 Daily Dollar [Single Entry]  (AKR @ WAKE);CFB Showdown $100 Quarter Jukebox [Just $0.25!]  (AKR @ WAKE);CFB Showdown $50 Dime Time [Just $0.10!] (AKR @ WAKE)",194851594;194851595;194851592;194851598;194851593;194851599;194851596;194851597,9/3 7:00PM (AKR @ WAKE)
Alberto Mendoza - Showdown Captain Mode (Captain),194851604;194851606;194851601;194851600;194851605;194851602;194851603;194851609;194851607;194851608,1514726,43999365,Alberto Mendoza,Alberto,Mendoza,15300,CPT,GT,COL @ GT,09/03/2026 08:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7633.png,COL @ GT,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $6K Air Raid [$2K to 1st] (COL @ GT);CFB Showdown $750 First Down (COL @ GT);CFB Showdown $720 Kick Return [Single Entry, Top 2 Win] (COL @ GT);CFB Showdown $155 White-Out [Single Entry] (COL @ GT);CFB Showdown $100 Snap (COL @ GT);CFB Showdown $355 Blitz [Single Entry] (COL @ GT);CFB Showdown $285 Tailgate (COL @ GT);CFB Showdown $300 Daily Dollar [Single Entry] (COL @ GT);CFB Showdown $200 Quarter Jukebox (COL @ GT);CFB Showdown $100 Dime Time [Just $0.10!] (COL @ GT)",194851604;194851606;194851601;194851600;194851605;194851602;194851603;194851609;194851607;194851608,9/3 8:00PM (COL @ GT)
Ryder Burton - Showdown Captain Mode (Captain),194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,1441142,43999069,Ryder Burton,Ryder,Burton,15000,CPT,UAB,UAB @ IL,09/03/2026 09:00 PM,https://dkn.gs/sports/images/cfb/teams/50/9227.png,UAB @ IL,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $6K Air Raid [$2K to 1st] (UAB @ IL);CFB Showdown $540 Kick Return [Single Entry, Top 2 Win] (UAB @ IL);CFB Showdown $500 First Down (UAB @ IL);CFB Showdown $155 White-Out [Single Entry] (UAB @ IL);CFB Showdown $100 Snap (UAB @ IL);CFB Showdown $310 Blitz [Single Entry] (UAB @ IL);CFB Showdown $240 Huddle [Single Entry] (UAB @ IL);CFB Showdown $200 Daily Dollar [Single Entry]  (UAB @ IL);CFB Showdown $200 Quarter Jukebox (UAB @ IL);CFB Showdown $100 Dime Time [Just $0.10!] (UAB @ IL)",194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,9/3 9:00PM (UAB @ IL)
Steele Pizzella - Showdown Captain Mode (Captain),194851594;194851595;194851592;194851598;194851593;194851599;194851596;194851597,1583320,43999221,Steele Pizzella,Steele,Pizzella,15000,CPT,WAKE,AKR @ WAKE,09/03/2026 07:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7686.png,AKR @ WAKE,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $3K Air Raid [$1K to 1st] (AKR @ WAKE);CFB Showdown $500 First Down (AKR @ WAKE);CFB Showdown $540 Kick Return [Single Entry, Top 2 Win] (AKR @ WAKE);CFB Showdown $155 White-Out [Single Entry] (AKR @ WAKE);CFB Showdown $305 Huddle [Single Entry] (AKR @ WAKE);CFB Showdown $200 Daily Dollar [Single Entry]  (AKR @ WAKE);CFB Showdown $100 Quarter Jukebox [Just $0.25!]  (AKR @ WAKE);CFB Showdown $50 Dime Time [Just $0.10!] (AKR @ WAKE)",194851594;194851595;194851592;194851598;194851593;194851599;194851596;194851597,9/3 7:00PM (AKR @ WAKE)
Carson Boyd - Showdown Captain Mode (Captain),194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,1583330,43999070,Carson Boyd,Carson,Boyd,14700,CPT,IL,UAB @ IL,09/03/2026 09:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7823.png,UAB @ IL,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $6K Air Raid [$2K to 1st] (UAB @ IL);CFB Showdown $540 Kick Return [Single Entry, Top 2 Win] (UAB @ IL);CFB Showdown $500 First Down (UAB @ IL);CFB Showdown $155 White-Out [Single Entry] (UAB @ IL);CFB Showdown $100 Snap (UAB @ IL);CFB Showdown $310 Blitz [Single Entry] (UAB @ IL);CFB Showdown $240 Huddle [Single Entry] (UAB @ IL);CFB Showdown $200 Daily Dollar [Single Entry]  (UAB @ IL);CFB Showdown $200 Quarter Jukebox (UAB @ IL);CFB Showdown $100 Dime Time [Just $0.10!] (UAB @ IL)",194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,9/3 9:00PM (UAB @ IL)
Julian Lewis - Showdown Captain Mode (Captain),194851604;194851606;194851601;194851600;194851605;194851602;194851603;194851609;194851607;194851608,1582713,43999366,Julian Lewis,Julian,Lewis,14400,CPT,COL,COL @ GT,09/03/2026 08:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7762.png,COL @ GT,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $6K Air Raid [$2K to 1st] (COL @ GT);CFB Showdown $750 First Down (COL @ GT);CFB Showdown $720 Kick Return [Single Entry, Top 2 Win] (COL @ GT);CFB Showdown $155 White-Out [Single Entry] (COL @ GT);CFB Showdown $100 Snap (COL @ GT);CFB Showdown $355 Blitz [Single Entry] (COL @ GT);CFB Showdown $285 Tailgate (COL @ GT);CFB Showdown $300 Daily Dollar [Single Entry] (COL @ GT);CFB Showdown $200 Quarter Jukebox (COL @ GT);CFB Showdown $100 Dime Time [Just $0.10!] (COL @ GT)",194851604;194851606;194851601;194851600;194851605;194851602;194851603;194851609;194851607;194851608,9/3 8:00PM (COL @ GT)
Ca'Lil Valentine - Showdown Captain Mode (Captain),194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,1508408,43999071,Ca'Lil Valentine,Ca'Lil,Valentine,14100,CPT,IL,UAB @ IL,09/03/2026 09:00 PM,https://dkn.gs/sports/images/cfb/teams/50/7823.png,UAB @ IL,Showdown Captain Mode,CFB,9/3,Captain,"CFB Showdown $6K Air Raid [$2K to 1st] (UAB @ IL);CFB Showdown $540 Kick Return [Single Entry, Top 2 Win] (UAB @ IL);CFB Showdown $500 First Down (UAB @ IL);CFB Showdown $155 White-Out [Single Entry] (UAB @ IL);CFB Showdown $100 Snap (UAB @ IL);CFB Showdown $310 Blitz [Single Entry] (UAB @ IL);CFB Showdown $240 Huddle [Single Entry] (UAB @ IL);CFB Showdown $200 Daily Dollar [Single Entry]  (UAB @ IL);CFB Showdown $200 Quarter Jukebox (UAB @ IL);CFB Showdown $100 Dime Time [Just $0.10!] (UAB @ IL)",194851625;194851621;194851622;194851623;194851626;194851629;194851630;194851624;194851627;194851628,9/3 9:00PM (UAB @ IL)
